"","Kingdom","Species","in3_0","Kingdom_new","Species_new","Source","Description","Description2","CBD_subcategory","CBD_pathway","CBD_Mechanism","Direct_or_Indirect","Primary_or_Secondary","CountrySpecific","RemovePathways","Checkedby_00","Checkedby","Double_checkedby","Notes"
"11","Animalia","Ovis aries","No","Animalia","Ovis aries","CABI","Acclimatisation societies","Acclimatization societies","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"12","Animalia","Rhinella marina","yes","Animalia","Rhinella marina","GISD","Acclimatation societies","Acclimatization societies","Aesthetic release","Release","Movement of COMMODITY","Indirect","Primary","No","No",NA,"Phil",NA,NA
"13","Animalia","Sander lucioperca","yes","Animalia","Sander lucioperca","CABI","Acclimatization societies (pathway cause)","Acclimatization societies","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No",NA,"Melina",NA,NA
"14","Animalia","Sturnus vulgaris","yes","Animalia","Sturnus vulgaris","GISD","Acclimatation societies","Acclimatization societies","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","N","No",NA,"Ana Novoa",NA,NA
"15","Animalia","Sturnus vulgaris","No","Animalia","Sturnus vulgaris","CABI","Acclimatation societies","Acclimatization societies","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","N","No",NA,"Anna",NA,NA
"16","Plantae","Acacia longifolia","yes","Plantae","Acacia longifolia","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","Yes","No","Anna","Anna",NA,NA
"17","Plantae","Acacia mearnsii","yes","Plantae","Acacia mearnsii","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No","Anna","Anna",NA,NA
"18","Plantae","Acacia saligna","yes","Plantae","Acacia saligna","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No","Anna","Anna",NA,NA
"19","Plantae","Agave americana","yes","Plantae","Agave americana","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No","Anna","Anna",NA,NA
"20","Plantae","Agave americana","No","Plantae","Agave americana","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No","Emma","Emma",NA,NA
"21","Animalia","Amphibalanus improvisus",NA,"Animalia","Amphibalanus improvisus","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Indirect","Secondary",NA,NA,NA,NA,NA,NA
"22","Plantae","Anredera cordifolia","yes","Plantae","Anredera cordifolia","CABI","Habitat restoration and improvement (pathway cause)","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No","Anna","Anna",NA,NA
"23","Plantae","Carpobrotus edulis","yes","Plantae","Carpobrotus edulis","CABI","Habitat restoration and improvement (pathway cause)","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Emma",NA,NA
"24","Plantae","Cascabela thevetia",NA,NA,"Cascabela thevetia","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary",NA,NA,NA,"Anna",NA,NA
"25","Plantae","Casuarina equisetifolia",NA,"Plantae","Casuarina equisetifolia","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary",NA,NA,NA,"Anna",NA,NA
"26","Plantae","Cenchrus ciliaris","yes","Plantae","Cenchrus ciliaris","CABI","Habitat restoration and improvement (pathway cause)","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Emma",NA,NA
"27","Plantae","Cenchrus setaceus","yes","Plantae","Cenchrus setaceus","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No",NA,"Emma",NA,NA
"28","Plantae","Chloris virgata","No","Plantae","Chloris virgata","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"29","Plantae","Cortaderia selloana","yes","Plantae","Cortaderia selloana","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","Yes","No",NA,"Emma",NA,NA
"30","Plantae","Elaeagnus angustifolia",NA,"Plantae","Elaeagnus angustifolia","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary",NA,NA,NA,"Anna",NA,NA
"31","Plantae","Leucaena leucocephala","yes","Plantae","Leucaena leucocephala","CABI","Habitat restoration and improvement (pathway cause)","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"32","Plantae","Melaleuca quinquenervia","yes","Plantae","Melaleuca quinquenervia","CABI","Habitat restoration and improvement (pathway cause)","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"33","Plantae","Melaleuca quinquenervia","No","Plantae","Melaleuca quinquenervia","CABI","Habitat restoration and improvement (pathway cause)","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"34","Plantae","Melinis repens","No","Plantae","Melinis repens","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No",NA,"Anna",NA,NA
"35","Plantae","Mikania micrantha","yes","Plantae","Mikania micrantha","CABI","Habitat restoration and improvement (pathway cause)","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"36","Plantae","Mimosa diplotricha","No","Plantae","Mimosa diplotricha","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No",NA,"Anna",NA,NA
"37","Plantae","Neustanthus phaseoloides","4.0999999999999996","Plantae","Pueraria phaseoloides","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary",NA,NA,NA,"Anna",NA,NA
"38","Plantae","Opuntia ficus-indica","yes","Plantae","Opuntia ficus-indica","CABI","Habitat restoration and improvement (pathway cause)","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","N","No",NA,"Ana Novoa",NA,NA
"39","Plantae","Paspalum dilatatum","yes","Plantae","Paspalum dilatatum","CABI","Habitat restoration and improvement (pathway cause)","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No",NA,"Phil",NA,NA
"40","Plantae","Paspalum vaginatum","No","Plantae","Paspalum vaginatum","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"41","Plantae","Pastinaca sativa","No","Plantae","Pastinaca sativa","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"42","Plantae","Paulownia tomentosa","yes","Plantae","Paulownia tomentosa","CABI","Habitat restoration and improvement (pathway cause)","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No",NA,"Phil",NA,NA
"43","Plantae","Pinus caribaea","yes","Plantae","Pinus caribaea","CABI","Habitat restoration and improvement (pathway cause)","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No",NA,"Melina",NA,NA
"44","Plantae","Prosopis juliflora","yes","Plantae","Prosopis juliflora","CABI","Habitat restoration and improvement (pathway cause)","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No",NA,"Melina",NA,NA
"45","Plantae","Prosopis juliflora","No","Plantae","Prosopis juliflora","CABI","Habitat restoration and improvement (pathway cause)","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No",NA,NA,NA,NA
"46","Plantae","Reynoutria japonica","yes","Plantae","Reynoutria japonica","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"47","Plantae","Reynoutria japonica","No","Plantae","Reynoutria japonica","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"48","Plantae","Rosa rugosa","yes","Plantae","Rosa rugosa","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"49","Plantae","Schinus terebinthifolia","yes","Plantae","Schinus terebinthifolia","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No",NA,"Anna",NA,NA
"50","Plantae","Spartium junceum","yes","Plantae","Spartium junceum","CABI","Habitat restoration and improvement (pathway cause)","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary",NA,"Yes",NA,"Ana Novoa",NA,"This species is native in some areas of Spain. I guess we should not include it in the analysis?"
"51","Plantae","Sphagneticola trilobata","4.0999999999999996","Plantae","Sphagneticola trilobata","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary",NA,NA,NA,"Anna",NA,NA
"52","Plantae","Sporobolus alterniflorus","yes","Plantae","Spartina alterniflora","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","N","No",NA,"Ana Novoa",NA,"I updated the species name from sporobolus to spartina"
"53","Plantae","Sporobolus alterniflorus","No","Plantae","Spartina alterniflora","CABI","Habitat restoration and improvement","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","N","No",NA,"Anna",NA,NA
"54","Plantae","Sporobolus anglicus","yes","Plantae","Spartina anglica","CABI","Habitat restoration","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","Y","No",NA,"Ana Novoa",NA,"I updated the species name from sporobolus to spartina"
"55","Plantae","Tithonia diversifolia","yes","Plantae","Tithonia diversifolia","CABI","Habitat restoration and improvement (pathway cause)","Habitat restoration and improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","N","No",NA,"Ana Novoa",NA,NA
"56","Plantae","Mimosa diplotricha","No","Plantae","Mimosa diplotricha","CABI","Intentional release","Intentional release","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No",NA,"Anna",NA,NA
"57","Animalia","Sciurus aureogaster","No","Animalia","Sciurus aureogaster","Koprowski, J.L., Kellison, G.T. and Moneysmith, S.L., 2005. Status of red-bellied squirrels (Sciurus aureogaster) introduced to Elliott Key, Florida. Florida Field Naturalist, 33(4), pp.128-129.","Intentional release","Intentional release","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","Yes","No",NA,"Anna",NA,"Specific to Florida"
"58","Animalia","Tamias sibiricus","yes","Animalia","Tamias sibiricus","CABI","Landscape / flora / fauna ñimprovementî in the wild","Intentional release","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","N","No",NA,"Ana Novoa",NA,NA
"59","Plantae","Acacia longifolia","yes","Plantae","Acacia longifolia","CABI","Landscape improvement","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","Yes","No","Anna","Anna",NA,NA
"60","Plantae","Acacia melanoxylon","yes","Plantae","Acacia melanoxylon","GISD","Nursery trade, landscaping","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No","Anna","Anna",NA,NA
"61","Plantae","Acacia nilotica","yes","Plantae","Acacia nilotica","GISD","shading and forage","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No","Anna","Anna",NA,NA
"62","Plantae","Acacia saligna","yes","Plantae","Acacia saligna","GISD","Landscape","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No","Anna","Anna",NA,NA
"63","Plantae","Agave americana","yes","Plantae","Agave americana","CABI","Landscape improvement","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No","Anna","Anna",NA,NA
"64","Plantae","Agave americana","No","Plantae","Agave americana","CABI","Landscape improvement","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No","Emma","Emma",NA,NA
"65","Animalia","Anoplophora glabripennis","yes","Animalia","Anoplophora glabripennis","GISD","Nursery trade, landscaping","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Indirect","Secondary","No","No","Anna","Anna",NA,NA
"66","Animalia","Anoplophora glabripennis","No","Animalia","Anoplophora glabripennis","GISD","Nursery trade, landscaping","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Indirect","Secondary","No","No","Anna","Anna",NA,NA
"67","Plantae","Anredera cordifolia","yes","Plantae","Anredera cordifolia","CABI","Landscape improvement (pathway cause)","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No","Anna","Anna",NA,NA
"68","Plantae","Arundo donax","yes","Plantae","Arundo donax","GISD","Nursery trade, landscaping","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No","Anna","Anna",NA,NA
"69","Plantae","Arundo donax","No","Plantae","Arundo donax","GISD","Nursery trade, landscaping","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No","Anna","Anna",NA,NA
"70","Plantae","Asparagus asparagoides",NA,"Plantae","Asparagus asparagoides","CABI","Landscape improvement","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary",NA,NA,"Anna",NA,NA,NA
"71","Plantae","Austrocylindropuntia subulata","yes","Plantae","Austrocylindropuntia subulata","CABI","Landscape improvement (pathway cause)","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No","Anna","Anna",NA,NA
"72","Plantae","Buddleja davidii","yes","Plantae","Buddleja davidii","CABI","Landscape improvement","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No","Emma","Emma",NA,NA
"73","Plantae","Carpobrotus edulis","yes","Plantae","Carpobrotus edulis","CABI","Landscape improvement (pathway cause)","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Emma",NA,NA
"74","Plantae","Cenchrus setaceus","yes","Plantae","Cenchrus setaceus","CABI","Landscape improvement","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No",NA,"Emma",NA,NA
"75","Plantae","Cortaderia selloana","yes","Plantae","Cortaderia selloana","CABI","Landscape improvement","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","Yes","No",NA,"Emma",NA,NA
"76","Plantae","Frangula alnus","4.0999999999999996","Plantae","Frangula alnus","CABI","Landscape improvement","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"77","Plantae","Furcraea hexapetala","yes","Plantae","Furcraea hexapetala","CABI","Landscape improvement","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Melina","Y",NA
"78","Plantae","Humulus scandens","4.0999999999999996","Plantae","Humulus scandens","CABI","Landscape improvement","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary",NA,NA,NA,"Anna",NA,NA
"79","Plantae","Ligustrum lucidum","yes","Plantae","Ligustrum lucidum","CABI","Landscape improvement (pathway cause)","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Phil","Y",NA
"80","Plantae","Ligustrum lucidum","No","Plantae","Ligustrum lucidum","CABI","Landscape improvement (pathway cause)","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,NA,NA,NA
"81","Plantae","Lythrum salicaria","yes","Plantae","Lythrum salicaria","GISD","Lanscape improvement","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No",NA,"Anna",NA,NA
"82","Plantae","Lythrum salicaria","No","Plantae","Lythrum salicaria","GISD","Lanscape improvement","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No",NA,"Anna",NA,NA
"83","Plantae","Melaleuca quinquenervia","yes","Plantae","Melaleuca quinquenervia","CABI","Landscape improvement (pathway cause)","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"84","Plantae","Melaleuca quinquenervia","No","Plantae","Melaleuca quinquenervia","CABI","Landscape improvement (pathway cause)","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"85","Plantae","Melinis repens","No","Plantae","Melinis repens","CABI","Landscape improvement","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No",NA,"Anna",NA,NA
"86","Plantae","Miconia calvescens","yes","Plantae","Miconia calvescens","CABI","Landscape improvement (pathway cause)","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No","Melina","Melina",NA,NA
"87","Plantae","Miconia calvescens","No","Plantae","Miconia calvescens","CABI","Landscape improvement (pathway cause)","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"88","Plantae","Opuntia stricta","No","Plantae","Opuntia stricta","CABI","Landscape improvement (pathway cause)","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No",NA,"Anna",NA,NA
"89","Plantae","Opuntia stricta","yes","Plantae","Opuntia stricta","CABI","Landscape improvement (pathway cause)","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","N","No",NA,"Ana Novoa",NA,NA
"90","Animalia","Paracoccus marginatus","yes","Animalia","Paracoccus marginatus","CABI","Landscape improvement","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Melina",NA,NA
"91","Plantae","Paspalum vaginatum","No","Plantae","Paspalum vaginatum","CABI","Landscape improvement","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"92","Plantae","Pistia stratiotes","No","Plantae","Pistia stratiotes","CABI","Landscape improvement (pathway cause)","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No",NA,NA,NA,NA
"93","Plantae","Prosopis juliflora","yes","Plantae","Prosopis juliflora","CABI","Landscape improvement (pathway cause)","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No",NA,"Melina",NA,NA
"94","Plantae","Prosopis juliflora","No","Plantae","Prosopis juliflora","CABI","Landscape improvement (pathway cause)","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No",NA,NA,NA,NA
"95","Plantae","Reynoutria japonica","yes","Plantae","Reynoutria japonica","CABI","Landscape improvement","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Indirect","Primary","No","No",NA,"Anna",NA,NA
"96","Plantae","Reynoutria japonica","No","Plantae","Reynoutria japonica","CABI","Landscape improvement","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Indirect","Primary","No","No",NA,"Anna",NA,NA
"97","Plantae","Rosa rugosa","yes","Plantae","Rosa rugosa","CABI","Landscape improvement","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Anna",NA,NA
"98","Animalia","Sciurus carolinensis","yes","Animalia","Sciurus carolinensis","GISD","landscape improvement","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No",NA,"Phil",NA,NA
"99","Plantae","Sphagneticola trilobata","4.0999999999999996","Plantae","Sphagneticola trilobata","CABI","Landscape improvement","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary",NA,NA,NA,"Anna",NA,NA
"100","Plantae","Stenotaphrum secundatum","yes","Plantae","Stenotaphrum secundatum","CABI","Landscape improvement (pathway cause)","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","N","No",NA,"Ana Novoa",NA,NA
"101","Plantae","Tithonia diversifolia","yes","Plantae","Tithonia diversifolia","CABI","Landscape improvement (pathway cause)","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","N","No",NA,"Ana Novoa",NA,NA
"102","Plantae","Triphasia trifolia","yes","Plantae","Triphasia trifolia","CABI","Landscape improvement (pathway cause)","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","N","No",NA,"Ana Novoa",NA,NA
"103","Plantae","Vachellia nilotica",NA,"Plantae","Acacia nilotica","GISD","shading and forage","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary",NA,NA,"Emma",NA,NA,"Synonym with Acacia nilotica"
"104","Animalia","Wasmannia auropunctata","No","Animalia","Wasmannia auropunctata","CABI","Landscape improvement (pathway cause)","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Indirect","Primary","N","No",NA,"Anna",NA,NA
"105","Animalia","Wasmannia auropunctata","yes","Animalia","Wasmannia auropunctata","CABI","Landscape improvement (pathway cause)","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Indirect","Primary","N","No",NA,"Ana Novoa",NA,NA
"106","Plantae","Yucca aloifolia","yes","Plantae","Yucca aloifolia","CABI","Landscape improvement (pathway cause)","Landscape improvement","Aesthetic release","Release","Movement of COMMODITY","Indirect","Secondary","N","No",NA,"Ana Novoa",NA,NA
"107","Plantae","Abutilon theophrasti","yes","Plantae","Abutilon theophrasti","CABI","Agricultural Practices","Agricultural Practices","Agriculture","Escape","Movement of COMMODITY","Indirect","Primary","No","No","Anna","Anna",NA,NA
"108","Plantae","Abutilon theophrasti","No","Plantae","Abutilon theophrasti","CABI","Agricultural Practices","Agricultural Practices","Agriculture","Escape","Movement of COMMODITY","Indirect","Primary","No","No","Anna",NA,NA,"IC4"
"109","Plantae","Acacia mearnsii","yes","Plantae","Acacia mearnsii","CABI","Agriculture","Agricultural Practices","Agriculture","Escape","Movement of COMMODITY","Direct","Secondary","No","No","Anna","Anna",NA,NA
"110","Plantae","Acacia nilotica","yes","Plantae","Acacia nilotica","CABI","Agricultural practices","Agricultural practices","Agriculture","Escape","Movement of COMMODITY","Direct","Secondary","Yes","No","Anna","Anna",NA,NA
"111","Plantae","Acacia nilotica","yes","Plantae","Acacia nilotica","CABI","Agricultural practices","Agricultural practices","Agriculture","Escape","Movement of COMMODITY","Direct","Secondary","No","No","Anna","Anna",NA,NA
"112","Plantae","Ageratina adenophora","yes","Plantae","Ageratina adenophora","CABI","Agricultural Practices","Agricultural Practices","Agriculture","Escape","Movement of COMMODITY","Indirect","Primary","No","No","Anna","Anna",NA,NA
"113","Plantae","Ambrosia artemisiifolia","yes","Plantae","Ambrosia artemisiifolia","GISD","cultivation of potatoes and legumes","Agricultural Practices","Agriculture","Escape","Movement of COMMODITY","Direct","Secondary","No","No","Anna","Anna",NA,NA
"114","Plantae","Ambrosia artemisiifolia","No","Plantae","Ambrosia artemisiifolia","GISD","cultivation of potatoes and legumes","Agricultural Practices","Agriculture","Escape","Movement of COMMODITY","Direct","Primary","No","No","Anna","Anna",NA,NA
"115","Plantae","Ambrosia artemisiifolia","yes","Plantae","Ambrosia artemisiifolia","GISD","cultivation of potatoes and legumes","Agricultural Practices","Agriculture","Escape","Movement of COMMODITY","Direct","Primary","Yes","No","Anna","Anna",NA,NA
"116","Animalia","Anoplolepis gracilipes","yes","Animalia","Anoplolepis gracilipes","GISD","Ignorant possession - agriculture","Agricultural Practices","Agriculture","Escape","Movement of COMMODITY","Indirect","Primary","No","No","Anna","Anna",NA,NA
"117","Animalia","Arion lusitanicus","yes","Animalia","Arion lusitanicus","CABI - based on Arion vulgaris","Agriculture","Agricultural Practices","Agriculture","Escape","Movement of COMMODITY","Indirect","Primary","No","No","Anna","Anna",NA,NA
"118","Plantae","Arundo donax","yes","Plantae","Arundo donax","GISD","Agriculture","Agricultural Practices","Agriculture","Escape","Movement of COMMODITY","Direct","Primary","No","No","Anna","Anna",NA,NA
"119","Plantae","Arundo donax","No","Plantae","Arundo donax","GISD","Agriculture","Agricultural Practices","Agriculture","Escape","Movement of COMMODITY","Direct","Primary","No","No","Anna","Anna",NA,NA
"120","Plantae","Cenchrus ciliaris","yes","Plantae","Cenchrus ciliaris","GISD","pasture grass","Agricultural Practices","Agriculture","Escape","Movement of COMMODITY","Direct","Secondary","No","No",NA,"Emma",NA,NA
"121","Animalia","Chilo suppressalis","yes","Animalia","Chilo suppressalis","CABI","Agriculture","Agricultural Practices","Agriculture","Escape","Movement of COMMODITY","Indirect","Primary","No","No",NA,"Emma",NA,NA
"122","Plantae","Echium plantagineum","yes","Plantae","Echium plantagineum","CABI","Agricultural Practices","Agricultural Practices","Agriculture","Escape","Movement of COMMODITY","Indirect","Primary","No","No",NA,"Anna",NA,NA
