"Species","Agriculture","Forestry","Fisheries","Health","ispathogen"
"Saccharum spontaneum",NA,NA,NA,NA,"Y"
"Senna didymobotrya",NA,NA,NA,NA,"N"
"Theileria","exclude","exclude","exclude","exclude","exclude"
"Alopochen aegyptiaca","Negative",NA,NA,NA,"N"
"equine arteritis virus","exclude","exclude","exclude","exclude","exclude"
"equine influenzavirus","exclude","exclude","exclude","exclude","exclude"
"Cordyline fruticosa",NA,NA,NA,"Positive","N"
"Colubrina asiatica",NA,NA,NA,"Positive and negative","N"
"Commelina benghalensis",NA,NA,NA,NA,"Y"
"Commelina diffusa",NA,NA,NA,NA,"Y"
"Ctenarytaina spatulata",NA,NA,NA,NA,"N"
"Cacyreus marshalli",NA,NA,NA,NA,"N"
"Calotropis gigantea",NA,NA,NA,NA,"N"
"Claviceps gigantea","Negative",NA,NA,NA,"Y"
"Copaifera officinalis",NA,NA,NA,NA,"N"
"Cannabis sativa",NA,NA,NA,NA,"N"
"Brugmansia candida",NA,NA,NA,"Negative","N"
"Chrysomyxa abietis",NA,"Negative",NA,NA,"Y"
"Brevipalpus chilensis",NA,NA,NA,NA,"N"
"Brevipalpus lewisi",NA,NA,NA,NA,"N"
"Chrysomyxa himalensis",NA,NA,NA,NA,"Y"
"Erigeron bellioides","Negative",NA,NA,NA,"N"
"Centaurea macrocephala",NA,NA,NA,NA,"N"
"Cucurbit yellow stunting disorder virus","exclude","exclude","exclude","exclude","exclude"
"Rattus tanezumi","Negative",NA,NA,NA,"N"
"red sea bream iridoviral disease",NA,NA,NA,NA,"N"
"Pimephales vigilax",NA,NA,NA,NA,"N"
"pullorum disease",NA,NA,NA,NA,"N"
"Ipomoea ochracea",NA,NA,NA,NA,"N"
"Cyclanthera pedata",NA,NA,NA,NA,"N"
"Cynoglossum amabile",NA,NA,NA,NA,"N"
"Salvia coccinea",NA,NA,NA,NA,"N"
"Salvia leucantha",NA,NA,NA,NA,"N"
"Schmallenberg disease",NA,NA,NA,NA,"N"
"Lymantria mathura",NA,NA,NA,NA,"N"
"Filago gallica","Negative",NA,NA,NA,"N"
"Tradescantia pallida",NA,NA,NA,NA,"N"
"Chenopodium capitatum",NA,NA,NA,NA,"N"
"Ochropsora ariae",NA,NA,NA,"Negative","Y"
"Pileolaria berkeleyana",NA,NA,NA,NA,"N"
"Sesbania sericea",NA,NA,NA,NA,"N"
"Costus spicatus",NA,NA,NA,NA,"N"
"Thelypteris opulenta",NA,NA,NA,NA,"N"
"Marsilea minuta",NA,NA,NA,NA,"Y"
"Myzus cerasi",NA,NA,NA,NA,"N"
"Candidatus Phytoplasma pini","exclude","exclude","exclude","exclude","exclude"
"Cuphea hyssopifolia",NA,NA,NA,NA,"N"
"Melissococcus plutonius","exclude","exclude","exclude","exclude","exclude"
"Aonidiella orientalis",NA,NA,NA,NA,"N"
"Meloidogyne acronea","exclude","exclude","exclude","exclude","exclude"
"Meloidogyne decalineata","exclude","exclude","exclude","exclude","exclude"
"Meloidogyne fallax","exclude","exclude","exclude","exclude","exclude"
"Meloidogyne mayaguensis","exclude","exclude","exclude","exclude","exclude"
"Aeolesthes sarta",NA,"Negative","None, None","None","N"
"Aethina tumida","Negative",NA,NA,NA,"Y"
"Botryotinia porri",NA,NA,NA,NA,"Y"
"Bougainvillea spectabilis",NA,NA,NA,NA,"N"
"Urochloa decumbens","Negative",NA,NA,NA,"N"
"Acacia karroo","Negative","None","None, None","None","Y"
"Barringtonia asiatica","Negative",NA,"Negative","Negative","N"
"Vernicia fordii",NA,NA,NA,NA,"N"
"Aleurodicus destructor",NA,NA,NA,NA,"N"
"Asclepias syriaca","Negative",NA,NA,NA,"N"
"Bryophyllum fedtschenkoi",NA,NA,NA,NA,"N"
"Cercopagis pengoi",NA,NA,"Negative","Negative","N"
"Clarias batrachus",NA,NA,"Positive, Positive",NA,"N"
"Edwardsiella tarda","exclude","exclude","exclude","exclude","exclude"
"Chondrus crispus",NA,NA,NA,NA,"N"
"Copsychus malabaricus",NA,NA,NA,NA,"N"
"Calliandra houstoniana",NA,NA,NA,NA,"N"
"Triumfetta semitriloba",NA,NA,NA,NA,"N"
"Trioza erytreae","Negative",NA,NA,NA,"N"
"Striga aspera",NA,NA,NA,NA,"N"
"infectious hypodermal and haematopoietic necrosis",NA,NA,NA,NA,"N"
"infectious salmon anemia virus","exclude","exclude","exclude","exclude","exclude"
"Tabebuia heterophylla",NA,NA,NA,NA,"N"
"Unaspis citri",NA,NA,NA,NA,"Y"
"Stachytarpheta jamaicensis",NA,NA,NA,NA,"N"
"Tribulus cistoides","Negative","None","None, None","None","N"
"Tephrosia vogelii",NA,NA,NA,NA,"N"
"visna/maedi virus","exclude","exclude","exclude","exclude","exclude"
"Brenneria salicis","exclude","exclude","exclude","exclude","exclude"
"Elaeagnus pungens",NA,NA,NA,NA,"Y"
"Elsino&#235; australis",NA,NA,NA,NA,"Y"
"acarapisosis of honey bees",NA,NA,NA,NA,"N"
"Tropilaelaps infestation of honey bees",NA,NA,NA,NA,"N"
"Paenibacillus larvae","exclude","exclude","exclude","exclude","exclude"
"Xenohaliotis californiensis infection",NA,NA,NA,NA,"N"
"Pseudochattonella verruculosa",NA,NA,"Negative",NA,"N"
"Hovenia dulcis",NA,NA,NA,NA,"N"
"Hamaspora longissima",NA,NA,NA,"Negative","Y"
"Kuehneola japonica",NA,NA,NA,"Negative","Y"
"Kunzea ericoides","Negative","Negative","None, None","None","Y"
"Tricellaria inopinata",NA,NA,NA,NA,"N"
"Diplosoma listerianum",NA,NA,NA,NA,"N"
"Jasminum sambac",NA,NA,NA,NA,"Y"
"Mytilus galloprovincialis",NA,NA,"Positive, Positive",NA,"N"
"Mytilicola orientalis",NA,NA,"Negative, Negative",NA,"N"
"Mustela furo","Negative",NA,NA,NA,"N"
"Oxyura jamaicensis",NA,NA,NA,NA,"N"
"atypical non-progressive proliferative pneumonia",NA,NA,NA,NA,"N"
"Mycobacterium avium subspecies paratuberculosis","exclude","exclude","exclude","exclude","exclude"
"peste des petits ruminants virus","exclude","exclude","exclude","exclude","exclude"
"Marteilia refringens","exclude","exclude","exclude","exclude","exclude"
"Isometrus maculatus",NA,NA,NA,NA,"Y"
"Magnaporthe oryzae Triticum pathotype",NA,NA,NA,NA,"Y"
"Obama nungara",NA,NA,NA,NA,"N"
"Trioceros jacksonii","Negative",NA,NA,"Negative","N"
"Zachrysia provisoria","Negative",NA,NA,"Negative","Y"
"bovine babesiosis",NA,NA,NA,NA,"N"
"Tapinoma minutum",NA,NA,NA,NA,"N"
"Heterotis rotundifolia",NA,NA,NA,NA,"N"
"Sanchezia parvibracteata",NA,NA,NA,NA,"N"
"Pratylenchus goodeyi","exclude","exclude","exclude","exclude","exclude"
"Ptychosperma macarthurii",NA,NA,NA,NA,"N"
"Puccinia buxi",NA,NA,NA,NA,"Y"
"Polygonum barbatum",NA,NA,NA,NA,"N"
"Polygonum hydropiper",NA,NA,NA,NA,"Y"
"Polygonum nepalense",NA,NA,NA,NA,"N"
"Puccinia gladioli",NA,NA,NA,NA,"Y"
"Senna bicapsularis",NA,NA,NA,NA,"N"
"Sapium sebiferum","Negative","None","None, None","Negative","Y"
"Sciurus carolinensis",NA,NA,NA,NA,"Y"
"Bacillus anthracis","exclude","exclude","exclude","exclude","exclude"
"Trichinella","exclude","exclude","exclude","exclude","exclude"
"Callinectes sapidus",NA,NA,"Positive, Positive",NA,"N"
"Sitophilus granarius",NA,NA,NA,NA,"N"
"Digitaria longiflora","Negative","None","None, None","None","N"
"Digitaria abyssinica",NA,NA,NA,NA,"N"
"Digitaria velutina","Negative","None","None, None","None","N"
"Coccinia grandis",NA,NA,NA,"Positive","N"
"Dalbergia melanoxylon",NA,NA,NA,NA,"N"
"Citrus aurantiifolia",NA,NA,NA,NA,"N"
"Liberibacter africanus","exclude","exclude","exclude","exclude","exclude"
"Liberibacter americanus","exclude","exclude","exclude","exclude","exclude"
"Dovyalis caffra",NA,NA,NA,NA,"N"
"Cordia obliqua",NA,NA,NA,"Positive and negative","N"
"Calophyllum inophyllum",NA,NA,NA,NA,"N"
"Chelonia mydas",NA,NA,NA,NA,"N"
"trypanosomosis in marine fish",NA,NA,NA,NA,"N"
"Trichosurus vulpecula","Negative",NA,NA,NA,"N"
"infection with Marteilia sydneyi",NA,NA,NA,NA,"N"
"rabbit haemorrhagic disease",NA,NA,NA,NA,"N"
"Theileria annulata","exclude","exclude","exclude","exclude","exclude"
"Oncorhynchus apache",NA,NA,NA,NA,"N"
"Dombeya wallichii",NA,NA,NA,NA,"N"
"Persicaria chinensis","Negative",NA,NA,NA,"N"
"Stictococcus vayssierei","Negative",NA,NA,NA,"N"
"Gomphocarpus physocarpus","Negative",NA,NA,"Negative","N"
"Halophila stipulacea",NA,NA,NA,NA,"N"
"Ruellia simplex",NA,NA,NA,NA,"N"
"Cordylophora caspia",NA,NA,NA,NA,"N"
"Persicaria punctata",NA,NA,NA,NA,"Y"
"Cheilocostus speciosus",NA,NA,NA,NA,"N"
"Psylliodes chrysocephala",NA,NA,NA,NA,"Y"
"Maize lethal necrosis disease","exclude","exclude","exclude","exclude","exclude"
"Paspalum conjugatum","Negative",NA,NA,NA,"N"
"Paspalum scrobiculatum","Negative","Negative","None, None","None","N"
"Passer domesticus","Negative",NA,NA,NA,"N"
"Cylindropuntia fulgida","Negative",NA,NA,NA,"Y"
"Opuntia microdasys",NA,NA,NA,NA,"N"
"Lathyrus odoratus",NA,NA,NA,NA,"N"
"Eragrostis atrovirens",NA,NA,NA,NA,"N"
"Orobanche aegyptiaca",NA,NA,NA,NA,"Y"
"Spathoglottis plicata",NA,NA,NA,NA,"Y"
"Leersia hexandra",NA,NA,NA,NA,"N"
"Merremia peltata",NA,NA,NA,NA,"N"
"Melastoma malabathricum",NA,NA,NA,NA,"N"
"Amelanchier lamarckii",NA,NA,NA,NA,"N"
"Amelanchier spicata",NA,NA,NA,NA,"N"
"Mahonia aquifolium",NA,NA,NA,NA,"N"
"Arctotheca calendula","Negative",NA,NA,"Negative","N"
"Archips fuscocupreanus",NA,"None","None, None","None","N"
"Livistona chinensis",NA,NA,NA,NA,"N"
"Mimosa arenosa",NA,NA,NA,NA,"N"
"Mimosa ceratonia","Negative",NA,NA,NA,"N"
"Bauhinia tomentosa",NA,NA,NA,NA,"N"
"Bactrocera caryeae",NA,NA,NA,NA,"N"
"peach yellows phytoplasma","exclude","exclude","exclude","exclude","exclude"
"Alpinia purpurata",NA,NA,NA,NA,"N"
"Gyrodactylus salaris infection",NA,NA,NA,NA,"N"
"dermatophilosis",NA,NA,NA,NA,"N"
"Dermanyssus gallinae",NA,NA,NA,NA,"N"
"Baccharis pilularis",NA,NA,NA,NA,"N"
"Chinemys reevesii",NA,NA,"Positive, Positive",NA,"N"
"Cavia porcellus",NA,NA,NA,"Positive","N"
"dourine",NA,NA,NA,NA,"N"
"equine infectious anaemia virus","exclude","exclude","exclude","exclude","exclude"
"equine infectious anaemia",NA,NA,NA,NA,"N"
"equine piroplasmosis",NA,NA,NA,NA,"N"
"equine rhinopneumonitis",NA,NA,NA,NA,"N"
"equine viral arteritis",NA,NA,NA,NA,"N"
"Charybdis japonica",NA,NA,"Negative",NA,"N"
"Ardisia humilis",NA,NA,NA,NA,"N"
"Pileolaria terebinthi","Negative","Negative",NA,NA,"Y"
"Trialeurodes ricini",NA,NA,NA,NA,"N"
"Tetropium fuscum",NA,NA,NA,NA,"Y"
"Syngonium podophyllum","Negative",NA,NA,NA,"N"
"Sphenoclea zeylanica",NA,NA,NA,NA,"N"
"Spondias purpurea",NA,NA,NA,NA,"N"
"Toona sinensis",NA,NA,NA,NA,"N"
"Botrylloides violaceus",NA,NA,"Negative",NA,"N"
"Anolis sagrei",NA,NA,NA,NA,"N"
"Endophyllum kaernbachii",NA,NA,NA,"Negative","Y"
"Gymnosporangium miyabei",NA,"Negative",NA,NA,"Y"
"Hamaspora acutissima",NA,NA,NA,"Negative","Y"
"Hamaspora australis",NA,NA,NA,"Negative","Y"
"Hamaspora hashiokai",NA,NA,NA,"Negative","Y"
"Hamaspora rubi-sieboldii",NA,NA,NA,"Negative","Y"
"Kuehneola loeseneriana",NA,NA,NA,"Negative","Y"
"Mainsia rubi",NA,NA,NA,"Negative","Y"
"Phragmidium acuminatum",NA,NA,NA,"Negative","Y"
"Phragmidium arcticum",NA,NA,NA,"Negative","Y"
"Phragmidium arisanense",NA,NA,NA,"Negative","Y"
"Phragmidium assamense",NA,NA,NA,"Negative","Y"
"Phragmidium barclayi",NA,NA,NA,"Negative","Y"
"Phragmidium butleri",NA,NA,NA,"Negative","Y"
"Phragmidium formosanum",NA,NA,NA,"Negative","Y"
"Phragmidium griseum",NA,NA,NA,"Negative","Y"
"Phragmidium kamtschatkae",NA,NA,NA,"Negative","Y"
"Phragmidium nambuanum",NA,NA,NA,"Negative","Y"
"Phragmidium pauciloculare",NA,NA,NA,"Negative","Y"
"Phragmidium rosae-moschatae",NA,NA,NA,"Negative","Y"
"Phragmidium rosae-rugosae",NA,NA,NA,"Negative","Y"
"Phragmidium hiratsukanum",NA,NA,NA,"Negative","Y"
"Phragmidium rubi-thunbergii",NA,NA,NA,"Negative","Y"
"Phragmidium yamadanum",NA,NA,NA,"Negative","Y"
"Pileolaria pistaciae",NA,NA,NA,"Negative","Y"
"Puccinia agrophila",NA,NA,NA,"Negative","Y"
"Puccinia erythropus",NA,NA,NA,"Negative","Y"
"Puccinia miscanthi",NA,NA,NA,"Negative","Y"
"Puccinia substriata var. substriata",NA,NA,NA,"None","Y"
"Thaumastocoris peregrinus",NA,"Negative",NA,NA,"N"
"Heliconia bihai",NA,NA,NA,NA,"N"
"Eucalyptus paniculata",NA,"None","None, None","None","N"
"Glossina",NA,NA,NA,NA,"N"
"Equisetum arvense",NA,NA,NA,NA,"N"
"Eragrostis pilosa",NA,NA,NA,NA,"N"
"Galega officinalis","Negative",NA,NA,"Negative","N"
"Heliocarpus donnellsmithii",NA,NA,NA,"Positive","N"
"Egeria densa",NA,"None","Negative, Negative","None","N"
"Eggplant mottled dwarf virus","exclude","exclude","exclude","exclude","exclude"
"Bugula neritina",NA,NA,"Negative",NA,"N"
"Echinococcus",NA,NA,NA,NA,"N"
"Harpophora maydis","Negative",NA,NA,NA,"Y"
"Lepomis gulosus",NA,NA,"Negative",NA,"N"
"Glyptotermes dilatatus",NA,NA,NA,NA,"N"
"Alternaria yali-inficiens","Negative",NA,NA,NA,"Y"
"Hakea drupacea","Negative","None","None, None","None","N"
"Kabatiella zeae",NA,"None","None, None","None","Y"
"Hylastes ater",NA,NA,NA,NA,"Y"
"Nairobi sheep disease virus","exclude","exclude","exclude","exclude","exclude"
"Nipah virus infection",NA,NA,NA,NA,"N"
"classical swine fever virus","exclude","exclude","exclude","exclude","exclude"
"Japanese encephalitis virus","exclude","exclude","exclude","exclude","exclude"
"Marsupenaeus japonicus",NA,NA,NA,NA,"N"
"Brillantaisia lamium",NA,NA,NA,NA,"N"
"Codium parvulum",NA,NA,NA,NA,"N"
"Candidatus Hepatobacter penaei","exclude","exclude","exclude","exclude","exclude"
"Macrobrachium rosenbergii nodavirus","exclude","exclude","exclude","exclude","exclude"
"Acmella uliginosa","Negative",NA,NA,NA,"N"
"Anredera baselloides","Negative",NA,NA,NA,"N"
"Themeda arguens",NA,NA,NA,NA,"N"
"Viguiera dentata","Negative",NA,NA,"Positive","N"
"Phytophthora kernoviae",NA,NA,NA,NA,"Y"
"Phytophthora vignae",NA,"None","None, None","None","Y"
"Pycnonotus cafer","Negative",NA,NA,NA,"N"
"Odontonema nitidum",NA,NA,NA,NA,"N"
"Ruellia macrophylla",NA,NA,NA,NA,"N"
"Zingiber capitatum",NA,NA,NA,"Positive","N"
"Pinus patula",NA,NA,NA,NA,"Y"
"Xyris complanata",NA,NA,NA,NA,"Y"
"Setaria faberi",NA,NA,NA,NA,"N"
"Pterocarpus macrocarpus",NA,NA,NA,NA,"N"
"Pimenta racemosa",NA,NA,NA,NA,"Y"
"Salix fragilis",NA,"None","None, None","None","N"
"Scolytus morawitzi",NA,"Negative","None, None","None","N"
"bluetongue virus","exclude","exclude","exclude","exclude","exclude"
"bonamiosis (Bonamia ostreae)",NA,NA,NA,NA,"N"
"bonamiosis (Bonamia exitiosa)",NA,NA,NA,NA,"N"
"Anaplasma ovis","exclude","exclude","exclude","exclude","exclude"
"Senna hirsuta",NA,NA,NA,NA,"N"
"camelpox virus","exclude","exclude","exclude","exclude","exclude"
"Daraba laisalis",NA,NA,NA,NA,"N"
"Darna trima",NA,NA,NA,NA,"N"
"Cerataphis lataniae",NA,"None","None, None","None","N"
"Chrysopogon aciculatus","Negative","None","None, None","Negative","N"
"Clerodendrum quadriloculare",NA,NA,NA,"Positive","N"
"Clerodendrum thomsoniae",NA,NA,NA,NA,"N"
"Calonectria pseudonaviculata","Negative",NA,NA,NA,"Y"
"Chamaedorea elegans",NA,NA,NA,NA,"N"
"Cynodon plectostachyus","Negative",NA,NA,NA,"N"
"Cyperus compressus",NA,NA,NA,NA,"Y"
"Bromelia pinguin","Negative",NA,NA,NA,"N"
"Bromus diandrus","Negative","None","None, None","None","N"
"Chloris barbata",NA,NA,NA,NA,"N"
