Kingdom,Phylum,Class,Order,Family,Genus,Species,Species2,Environment_IAS,Kingdom_new,CoarseGroups,FineGroups,coarse_group,coarse_group_unspecified,fine_group,Sp_Focus,Species_new,Official_country,Origin,Source,Description,CBD_Mechanism_initial,CBD_Cat_inital,Description2,CBD_Mechanism2,CBD_Cat2,CBD_Mechanism_order,CBD_Cat_order,Description_order,pathway_count,CBD_subcategory,CBD_pathway,CBD_Mechanism,Direct_or_Indirect,Primary_or_Secondary,CountrySpecific,RemovePathways,Checkedby_00,Checkedby,Double_checkedby,Notes
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia mangium,Acacia mangium,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia mangium,France,NA,CABI,Horticulture,Movement of COMMODITY,ESCAPE,Horticulture,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Horticulture,1,Horticulture,Escape,Movement of COMMODITY,Direct,Primary,No,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia mangium,Acacia mangium,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia mangium,France,NA,CABI,Forestry,Movement of COMMODITY,ESCAPE,Forestry,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Breeding and propagation,1,Forestry,Escape,Movement of COMMODITY,Direct,Primary,No,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia mearnsii,Acacia mearnsii,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia mearnsii,South Africa,,CABI,Agriculture,Movement of COMMODITY,RELEASE,Agricultural Practices,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Agricultural Practices,2,Agriculture,Escape,Movement of COMMODITY,Direct,Secondary,No,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia mearnsii,Acacia mearnsii,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia mearnsii,South Africa,,CABI,Forestry,Movement of COMMODITY,RELEASE,Forestry,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Forestry,2,Forestry,Escape,Movement of COMMODITY,Direct,Primary,No,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia mearnsii,Acacia mearnsii,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia mearnsii,South Africa,,CABI,Ornamental purposes,Movement of COMMODITY,RELEASE,Ornamental purposes,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Ornamental purposes,2,Ornamental,Escape,Movement of COMMODITY,Direct,Secondary,No,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia mearnsii,Acacia mearnsii,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia mearnsii,South Africa,,CABI,Crop production,VECTOR,TRANSPORT_STOWAWAY,Crop production,VECTOR,TRANSPORT_STOWAWAY,2_VECTOR,21_TRANSPORT_STOWAWAY,21_Hitchhiker,2,Agriculture,Escape,Movement of COMMODITY,Direct,Secondary,No,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia melanoxylon,Acacia melanoxylon,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia melanoxylon,South Africa,,GISD,Forestry,Movement of COMMODITY,RELEASE,Forestry,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Forestry,2,Forestry,Escape,Movement of COMMODITY,Direct,Primary,No,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia melanoxylon,Acacia melanoxylon,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia melanoxylon,Spain,,GISD,Forestry,Movement of COMMODITY,RELEASE,Forestry,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Forestry,2,Forestry,Escape,Movement of COMMODITY,Direct,Primary,No,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia melanoxylon,Acacia melanoxylon,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia melanoxylon,South Africa,,GISD,"Nursery trade, landscaping",Movement of COMMODITY,RELEASE,Nursery trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Nursery trade,2,Horticulture,Escape,Movement of COMMODITY,Direct,Secondary,No,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia melanoxylon,Acacia melanoxylon,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia melanoxylon,Spain,,GISD,"Nursery trade, landscaping",Movement of COMMODITY,RELEASE,Nursery trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Nursery trade,2,Horticulture,Escape,Movement of COMMODITY,Direct,Secondary,No,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia nilotica,Acacia nilotica,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia nilotica,Australia,,CABI,Agricultural practices,Movement of COMMODITY,RELEASE,Agricultural practices,Movement of COMMODITY,RELEASE,1_Movement of COMMODITY,11_RELEASE,11_Landscape improvement,1,Agriculture,Escape,Movement of COMMODITY,Direct,Secondary,Yes,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia nilotica,Acacia nilotica,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia nilotica,Ecuador,,CABI,Agricultural practices,Movement of COMMODITY,RELEASE,Agricultural practices,Movement of COMMODITY,RELEASE,1_Movement of COMMODITY,11_RELEASE,11_Landscape improvement,1,Agriculture,Escape,Movement of COMMODITY,Direct,Secondary,No,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia saligna,Acacia saligna,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia saligna,South Africa,,CABI,Forestry,Movement of COMMODITY,RELEASE,Forestry,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Agricultural Practices,2,Forestry,Escape,Movement of COMMODITY,Direct,Primary,No,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia saligna,Acacia saligna,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia saligna,Spain,,CABI,Forestry,Movement of COMMODITY,RELEASE,Forestry,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Agricultural Practices,2,Forestry,Escape,Movement of COMMODITY,Direct,Primary,No,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia saligna,Acacia saligna,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia saligna,South Africa,,CABI,Ornamental purposes,Movement of COMMODITY,RELEASE,Ornamental purposes,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Agricultural Practices,2,Ornamental,Escape,Movement of COMMODITY,Direct,Primary,No,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia saligna,Acacia saligna,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia saligna,Spain,,CABI,Ornamental purposes,Movement of COMMODITY,RELEASE,Ornamental purposes,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Agricultural Practices,2,Ornamental,Escape,Movement of COMMODITY,Direct,Primary,No,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer negundo,Acer negundo,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acer negundo,France,NA,CABI,Ornamental purposes,Movement of COMMODITY,RELEASE,Ornamental purposes,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Ornamental purposes,5,Ornamental,Escape,Movement of COMMODITY,Direct,Primary,No,No,Anna,Anna,,
Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Achatina,Achatina fulica,Achatina fulica,terrestrial,Animalia,terrestrial invertebrate,terrestrial mollusc,Mollusc,Mollusc,Mollusc,single,Achatina fulica,China,NA,CABI,Crop production,Movement of COMMODITY,TRANSPORT_CONTAMINANT,Crop production,Movement of COMMODITY,TRANSPORT_CONTAMINANT,1_Movement of COMMODITY,13_TRANSPORT_CONTAMINANT,13_Crop production,4,Agriculture,Escape,Movement of COMMODITY,Indirect,Secondary,No,No,Anna,Anna,,
Animalia,Mollusca,Gastropoda,Pulmonata,Achatinidae,Achatina,Achatina fulica,Achatina fulica,terrestrial,Animalia,terrestrial invertebrate,terrestrial mollusc,Mollusc,Mollusc,Mollusc,single,Achatina fulica,Ecuador,NA,CABI,Crop production,Movement of COMMODITY,TRANSPORT_CONTAMINANT,Crop production,Movement of COMMODITY,TRANSPORT_CONTAMINANT,1_Movement of COMMODITY,13_TRANSPORT_CONTAMINANT,13_Crop production,4,Agriculture,Escape,Movement of COMMODITY,Indirect,Secondary,No,No,Anna,Anna,,
Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Achatina,Achatina fulica,Achatina fulica,terrestrial,Animalia,terrestrial invertebrate,terrestrial mollusc,Mollusc,Mollusc,Mollusc,single,Achatina fulica,Japan,NA,CABI,Crop production,Movement of COMMODITY,TRANSPORT_CONTAMINANT,Crop production,Movement of COMMODITY,TRANSPORT_CONTAMINANT,1_Movement of COMMODITY,13_TRANSPORT_CONTAMINANT,13_Crop production,4,Agriculture,Escape,Movement of COMMODITY,Indirect,Secondary,No,No,Anna,Anna,,
Animalia,Mollusca,Gastropoda,Pulmonata,Achatinidae,Achatina,Achatina fulica,Achatina fulica,terrestrial,Animalia,terrestrial invertebrate,terrestrial mollusc,Mollusc,Mollusc,Mollusc,single,Achatina fulica,USA,NA,CABI,Crop production,Movement of COMMODITY,TRANSPORT_CONTAMINANT,Crop production,Movement of COMMODITY,TRANSPORT_CONTAMINANT,1_Movement of COMMODITY,13_TRANSPORT_CONTAMINANT,13_Crop production,4,Agriculture,Escape,Movement of COMMODITY,Indirect,Secondary,No,No,Anna,Anna,,
Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Lissachatina,Achatina fulica,Achatina fulica,terrestrial,Animalia,terrestrial invertebrate,terrestrial mollusc,Mollusc,Mollusc,Mollusc,single,Achatina fulica,USA,NA,CABI,Crop production,Movement of COMMODITY,TRANSPORT_CONTAMINANT,Crop production,Movement of COMMODITY,TRANSPORT_CONTAMINANT,1_Movement of COMMODITY,13_TRANSPORT_CONTAMINANT,13_Crop production,4,Agriculture,Escape,Movement of COMMODITY,Indirect,Secondary,No,No,Anna,Anna,,
Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Achatina,Achatina fulica,Achatina fulica,terrestrial,Animalia,terrestrial invertebrate,terrestrial mollusc,Mollusc,Mollusc,Mollusc,single,Achatina fulica,China,NA,CABI,Horticulture,Movement of COMMODITY,TRANSPORT_CONTAMINANT,Horticulture,Movement of COMMODITY,TRANSPORT_CONTAMINANT,1_Movement of COMMODITY,13_TRANSPORT_CONTAMINANT,13_Horticulture,4,Horticulture,Escape,Movement of COMMODITY,Indirect,Secondary,No,No,Anna,Anna,,
Animalia,Mollusca,Gastropoda,Pulmonata,Achatinidae,Achatina,Achatina fulica,Achatina fulica,terrestrial,Animalia,terrestrial invertebrate,terrestrial mollusc,Mollusc,Mollusc,Mollusc,single,Achatina fulica,Ecuador,NA,CABI,Horticulture,Movement of COMMODITY,TRANSPORT_CONTAMINANT,Horticulture,Movement of COMMODITY,TRANSPORT_CONTAMINANT,1_Movement of COMMODITY,13_TRANSPORT_CONTAMINANT,13_Horticulture,4,Horticulture,Escape,Movement of COMMODITY,Indirect,Secondary,No,No,Anna,Anna,,
Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Achatina,Achatina fulica,Achatina fulica,terrestrial,Animalia,terrestrial invertebrate,terrestrial mollusc,Mollusc,Mollusc,Mollusc,single,Achatina fulica,Japan,NA,CABI,Horticulture,Movement of COMMODITY,TRANSPORT_CONTAMINANT,Horticulture,Movement of COMMODITY,TRANSPORT_CONTAMINANT,1_Movement of COMMODITY,13_TRANSPORT_CONTAMINANT,13_Horticulture,4,Horticulture,Escape,Movement of COMMODITY,Indirect,Secondary,No,No,Anna,Anna,,
Animalia,Mollusca,Gastropoda,Pulmonata,Achatinidae,Achatina,Achatina fulica,Achatina fulica,terrestrial,Animalia,terrestrial invertebrate,terrestrial mollusc,Mollusc,Mollusc,Mollusc,single,Achatina fulica,USA,NA,CABI,Horticulture,Movement of COMMODITY,TRANSPORT_CONTAMINANT,Horticulture,Movement of COMMODITY,TRANSPORT_CONTAMINANT,1_Movement of COMMODITY,13_TRANSPORT_CONTAMINANT,13_Horticulture,4,Horticulture,Escape,Movement of COMMODITY,Indirect,Secondary,No,No,Anna,Anna,,
Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Lissachatina,Achatina fulica,Achatina fulica,terrestrial,Animalia,terrestrial invertebrate,terrestrial mollusc,Mollusc,Mollusc,Mollusc,single,Achatina fulica,USA,NA,CABI,Horticulture,Movement of COMMODITY,TRANSPORT_CONTAMINANT,Horticulture,Movement of COMMODITY,TRANSPORT_CONTAMINANT,1_Movement of COMMODITY,13_TRANSPORT_CONTAMINANT,13_Horticulture,4,Horticulture,Escape,Movement of COMMODITY,Indirect,Secondary,No,No,Anna,Anna,,
Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Achatina,Achatina fulica,Achatina fulica,terrestrial,Animalia,terrestrial invertebrate,terrestrial mollusc,Mollusc,Mollusc,Mollusc,single,Achatina fulica,China,NA,CABI,Internet sales,Movement of COMMODITY,ESCAPE,Internet sales,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Internet sales,4,Pet,Escape,Movement of COMMODITY,Direct,Secondary,No,No,Anna,Anna,,
Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Achatina,Achatina fulica,Achatina fulica,terrestrial,Animalia,terrestrial invertebrate,terrestrial mollusc,Mollusc,Mollusc,Mollusc,single,Achatina fulica,China,NA,CABI,Pet trade,Movement of COMMODITY,ESCAPE,Pet trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Pet trade,4,Pet,Escape,Movement of COMMODITY,Direct,Primary,No,No,Anna,Anna,,
Animalia,Mollusca,Gastropoda,Pulmonata,Achatinidae,Achatina,Achatina fulica,Achatina fulica,terrestrial,Animalia,terrestrial invertebrate,terrestrial mollusc,Mollusc,Mollusc,Mollusc,single,Achatina fulica,Ecuador,NA,CABI,Internet sales,Movement of COMMODITY,ESCAPE,Internet sales,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Internet sales,4,Pet,Escape,Movement of COMMODITY,Direct,Secondary,No,No,Anna,Anna,,
Animalia,Mollusca,Gastropoda,Pulmonata,Achatinidae,Achatina,Achatina fulica,Achatina fulica,terrestrial,Animalia,terrestrial invertebrate,terrestrial mollusc,Mollusc,Mollusc,Mollusc,single,Achatina fulica,Ecuador,NA,CABI,Pet trade,Movement of COMMODITY,ESCAPE,Pet trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Pet trade,4,Pet,Escape,Movement of COMMODITY,Direct,Primary,No,No,Anna,Anna,,
Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Achatina,Achatina fulica,Achatina fulica,terrestrial,Animalia,terrestrial invertebrate,terrestrial mollusc,Mollusc,Mollusc,Mollusc,single,Achatina fulica,Japan,NA,CABI,Internet sales,Movement of COMMODITY,ESCAPE,Internet sales,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Internet sales,4,Pet,Escape,Movement of COMMODITY,Direct,Secondary,No,No,Anna,Anna,,
Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Achatina,Achatina fulica,Achatina fulica,terrestrial,Animalia,terrestrial invertebrate,terrestrial mollusc,Mollusc,Mollusc,Mollusc,single,Achatina fulica,Japan,NA,CABI,Pet trade,Movement of COMMODITY,ESCAPE,Pet trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Pet trade,4,Pet,Escape,Movement of COMMODITY,Direct,Primary,No,No,Anna,Anna,,
Animalia,Mollusca,Gastropoda,Pulmonata,Achatinidae,Achatina,Achatina fulica,Achatina fulica,terrestrial,Animalia,terrestrial invertebrate,terrestrial mollusc,Mollusc,Mollusc,Mollusc,single,Achatina fulica,USA,NA,CABI,Internet sales,Movement of COMMODITY,ESCAPE,Internet sales,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Internet sales,4,Pet,Escape,Movement of COMMODITY,Direct,Secondary,No,No,Anna,Anna,,
Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Lissachatina,Achatina fulica,Achatina fulica,terrestrial,Animalia,terrestrial invertebrate,terrestrial mollusc,Mollusc,Mollusc,Mollusc,single,Achatina fulica,USA,NA,CABI,Internet sales,Movement of COMMODITY,ESCAPE,Internet sales,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Internet sales,4,Pet,Escape,Movement of COMMODITY,Direct,Secondary,No,No,Anna,Anna,,
Animalia,Mollusca,Gastropoda,Pulmonata,Achatinidae,Achatina,Achatina fulica,Achatina fulica,terrestrial,Animalia,terrestrial invertebrate,terrestrial mollusc,Mollusc,Mollusc,Mollusc,single,Achatina fulica,USA,NA,CABI,Pet trade,Movement of COMMODITY,ESCAPE,Pet trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Pet trade,4,Pet,Escape,Movement of COMMODITY,Direct,Primary,No,No,Anna,Anna,,
Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Lissachatina,Achatina fulica,Achatina fulica,terrestrial,Animalia,terrestrial invertebrate,terrestrial mollusc,Mollusc,Mollusc,Mollusc,single,Achatina fulica,USA,NA,CABI,Pet trade,Movement of COMMODITY,ESCAPE,Pet trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Pet trade,4,Pet,Escape,Movement of COMMODITY,Direct,Primary,No,No,Anna,Anna,,
Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,Acridotheres tristis,Acridotheres tristis,terrestrial,Animalia,terrestrial vertebrate,terrestrial bird,Bird,Bird,Bird,single,Acridotheres tristis,Seychelles,NA,CABI,Botanical gardens and zoos,Movement of COMMODITY,ESCAPE,Botanical gardens and zoos,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Botanical gardens and zoos,1,Botanical gardens & Zoos,Escape,Movement of COMMODITY,Direct,Primary,No,No,Anna,Anna,,
Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,Acridotheres tristis,Acridotheres tristis,terrestrial,Animalia,terrestrial vertebrate,terrestrial bird,Bird,Bird,Bird,single,Acridotheres tristis,Seychelles,NA,CABI,Pet trade,Movement of COMMODITY,ESCAPE,Pet trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Pet trade,1,Pet,Escape,Movement of COMMODITY,Direct,Primary,No,No,Anna,Anna,,
Animalia,Arthropoda,Insecta,Hemiptera,Adelgidae,Adelges,Adelges tsugae,Adelges tsugae,terrestrial,Animalia,terrestrial invertebrate,terrestrial arthropod,Insect,Insect,Insect,single,Adelges tsugae,USA,NA,CABI,Horticulture,Movement of COMMODITY,TRANSPORT_CONTAMINANT,Contaminant on plants,Movement of COMMODITY,TRANSPORT_CONTAMINANT,1_Movement of COMMODITY,13_TRANSPORT_CONTAMINANT,13_Contaminant on plants,1,Nursery material contaminant,Contaminant,Movement of COMMODITY,Direct,Primary,No,No,Anna,Anna,,
